ds_type,noise_levels,k_folds,,k
circles,0.0,0,400,1
circles,0.0,0,401,3
circles,0.0,0,402,5
circles,0.0,0,403,11
circles,0.0,0,404,21
circles,0.0,0,405,31
circles,0.0,0,406,41
circles,0.0,0,407,51
circles,0.0,0,408,53
circles,0.0,0,409,55
circles,0.0,1,410,1
circles,0.0,1,411,3
circles,0.0,1,412,5
circles,0.0,1,413,11
circles,0.0,1,414,21
circles,0.0,1,415,31
circles,0.0,1,416,41
circles,0.0,1,417,51
circles,0.0,1,418,53
circles,0.0,1,419,55
circles,0.0,2,420,1
circles,0.0,2,421,3
circles,0.0,2,422,5
circles,0.0,2,423,11
circles,0.0,2,424,21
circles,0.0,2,425,31
circles,0.0,2,426,41
circles,0.0,2,427,51
circles,0.0,2,428,53
circles,0.0,2,429,55
circles,0.0,3,430,1
circles,0.0,3,431,3
circles,0.0,3,432,5
circles,0.0,3,433,11
circles,0.0,3,434,21
circles,0.0,3,435,31
circles,0.0,3,436,41
circles,0.0,3,437,51
circles,0.0,3,438,53
circles,0.0,3,439,55
circles,0.0,4,440,1
circles,0.0,4,441,3
circles,0.0,4,442,5
circles,0.0,4,443,11
circles,0.0,4,444,21
circles,0.0,4,445,31
circles,0.0,4,446,41
circles,0.0,4,447,51
circles,0.0,4,448,53
circles,0.0,4,449,55
circles,0.0,5,450,1
circles,0.0,5,451,3
circles,0.0,5,452,5
circles,0.0,5,453,11
circles,0.0,5,454,21
circles,0.0,5,455,31
circles,0.0,5,456,41
circles,0.0,5,457,51
circles,0.0,5,458,53
circles,0.0,5,459,55
circles,0.0,6,460,1
circles,0.0,6,461,3
circles,0.0,6,462,5
circles,0.0,6,463,11
circles,0.0,6,464,21
circles,0.0,6,465,31
circles,0.0,6,466,41
circles,0.0,6,467,51
circles,0.0,6,468,53
circles,0.0,6,469,55
circles,0.0,7,470,1
circles,0.0,7,471,3
circles,0.0,7,472,5
circles,0.0,7,473,11
circles,0.0,7,474,21
circles,0.0,7,475,31
circles,0.0,7,476,41
circles,0.0,7,477,51
circles,0.0,7,478,53
circles,0.0,7,479,55
circles,0.0,8,480,1
circles,0.0,8,481,3
circles,0.0,8,482,5
circles,0.0,8,483,11
circles,0.0,8,484,21
circles,0.0,8,485,31
circles,0.0,8,486,41
circles,0.0,8,487,51
circles,0.0,8,488,53
circles,0.0,8,489,55
circles,0.0,9,490,1
circles,0.0,9,491,3
circles,0.0,9,492,5
circles,0.0,9,493,11
circles,0.0,9,494,21
circles,0.0,9,495,31
circles,0.0,9,496,41
circles,0.0,9,497,51
circles,0.0,9,498,53
circles,0.0,9,499,55
circles,0.1,0,906,41
circles,0.1,1,913,11
circles,0.1,2,924,21
circles,0.1,3,936,41
circles,0.1,4,946,41
circles,0.1,5,953,11
circles,0.1,6,968,53
circles,0.1,7,977,51
circles,0.1,8,988,53
circles,0.1,9,997,51
circles,0.2,0,1406,41
circles,0.2,1,1414,21
circles,0.2,2,1428,53
circles,0.2,3,1436,41
circles,0.2,4,1446,41
circles,0.2,5,1459,55
circles,0.2,6,1468,53
circles,0.2,7,1477,51
circles,0.2,8,1487,51
circles,0.2,9,1499,55
circles,0.3,0,1904,21
circles,0.3,0,1907,51
circles,0.3,1,1918,53
circles,0.3,2,1928,53
circles,0.3,3,1938,53
circles,0.3,3,1939,55
circles,0.3,4,1946,41
circles,0.3,5,1956,41
circles,0.3,6,1969,55
circles,0.3,7,1977,51
circles,0.3,8,1986,41
circles,0.3,9,1996,41
circles,0.4,0,2409,55
circles,0.4,1,2417,51
circles,0.4,2,2428,53
circles,0.4,3,2434,21
circles,0.4,4,2448,53
circles,0.4,5,2458,53
circles,0.4,6,2468,53
circles,0.4,7,2478,53
circles,0.4,8,2488,53
circles,0.4,9,2494,21
circles,0.5,0,2909,55
circles,0.5,1,2918,53
circles,0.5,2,2929,55
circles,0.5,3,2937,51
circles,0.5,4,2949,55
circles,0.5,5,2958,53
circles,0.5,6,2969,55
circles,0.5,7,2979,55
circles,0.5,8,2986,41
circles,0.5,9,2998,53
moons,0.0,0,3400,1
moons,0.0,0,3401,3
moons,0.0,0,3402,5
moons,0.0,0,3403,11
moons,0.0,0,3404,21
moons,0.0,0,3405,31
moons,0.0,0,3406,41
moons,0.0,0,3407,51
moons,0.0,0,3408,53
moons,0.0,0,3409,55
moons,0.0,1,3410,1
moons,0.0,1,3411,3
moons,0.0,1,3412,5
moons,0.0,1,3413,11
moons,0.0,1,3414,21
moons,0.0,1,3415,31
moons,0.0,1,3416,41
moons,0.0,1,3417,51
moons,0.0,1,3418,53
moons,0.0,1,3419,55
moons,0.0,2,3420,1
moons,0.0,2,3421,3
moons,0.0,2,3422,5
moons,0.0,2,3423,11
moons,0.0,2,3424,21
moons,0.0,2,3425,31
moons,0.0,2,3426,41
moons,0.0,2,3427,51
moons,0.0,2,3428,53
moons,0.0,2,3429,55
moons,0.0,3,3430,1
moons,0.0,3,3431,3
moons,0.0,3,3432,5
moons,0.0,3,3433,11
moons,0.0,3,3434,21
moons,0.0,3,3435,31
moons,0.0,3,3436,41
moons,0.0,3,3437,51
moons,0.0,3,3438,53
moons,0.0,3,3439,55
moons,0.0,4,3440,1
moons,0.0,4,3441,3
moons,0.0,4,3442,5
moons,0.0,4,3443,11
moons,0.0,4,3444,21
moons,0.0,4,3445,31
moons,0.0,4,3446,41
moons,0.0,4,3447,51
moons,0.0,4,3448,53
moons,0.0,4,3449,55
moons,0.0,5,3450,1
moons,0.0,5,3451,3
moons,0.0,5,3452,5
moons,0.0,5,3453,11
moons,0.0,5,3454,21
moons,0.0,5,3455,31
moons,0.0,5,3456,41
moons,0.0,5,3457,51
moons,0.0,5,3458,53
moons,0.0,5,3459,55
moons,0.0,6,3460,1
moons,0.0,6,3461,3
moons,0.0,6,3462,5
moons,0.0,6,3463,11
moons,0.0,6,3464,21
moons,0.0,6,3465,31
moons,0.0,6,3466,41
moons,0.0,6,3467,51
moons,0.0,6,3468,53
moons,0.0,6,3469,55
moons,0.0,7,3470,1
moons,0.0,7,3471,3
moons,0.0,7,3472,5
moons,0.0,7,3473,11
moons,0.0,7,3474,21
moons,0.0,7,3475,31
moons,0.0,7,3476,41
moons,0.0,7,3477,51
moons,0.0,7,3478,53
moons,0.0,7,3479,55
moons,0.0,8,3480,1
moons,0.0,8,3481,3
moons,0.0,8,3482,5
moons,0.0,8,3483,11
moons,0.0,8,3484,21
moons,0.0,8,3485,31
moons,0.0,8,3486,41
moons,0.0,8,3487,51
moons,0.0,8,3488,53
moons,0.0,8,3489,55
moons,0.0,9,3490,1
moons,0.0,9,3491,3
moons,0.0,9,3492,5
moons,0.0,9,3493,11
moons,0.0,9,3494,21
moons,0.0,9,3495,31
moons,0.0,9,3496,41
moons,0.0,9,3497,51
moons,0.0,9,3498,53
moons,0.0,9,3499,55
moons,0.1,0,3900,1
moons,0.1,0,3901,3
moons,0.1,0,3902,5
moons,0.1,0,3903,11
moons,0.1,0,3904,21
moons,0.1,0,3905,31
moons,0.1,0,3906,41
moons,0.1,1,3910,1
moons,0.1,1,3911,3
moons,0.1,1,3912,5
moons,0.1,1,3913,11
moons,0.1,1,3914,21
moons,0.1,1,3915,31
moons,0.1,1,3916,41
moons,0.1,1,3917,51
moons,0.1,1,3918,53
moons,0.1,1,3919,55
moons,0.1,2,3920,1
moons,0.1,2,3921,3
moons,0.1,2,3922,5
moons,0.1,2,3923,11
moons,0.1,2,3924,21
moons,0.1,2,3925,31
moons,0.1,2,3926,41
moons,0.1,2,3927,51
moons,0.1,2,3928,53
moons,0.1,2,3929,55
moons,0.1,3,3930,1
moons,0.1,3,3931,3
moons,0.1,3,3932,5
moons,0.1,3,3933,11
moons,0.1,3,3934,21
moons,0.1,3,3935,31
moons,0.1,3,3936,41
moons,0.1,3,3937,51
moons,0.1,3,3938,53
moons,0.1,3,3939,55
moons,0.1,4,3941,3
moons,0.1,4,3942,5
moons,0.1,4,3943,11
moons,0.1,5,3950,1
moons,0.1,5,3951,3
moons,0.1,5,3952,5
moons,0.1,6,3961,3
moons,0.1,6,3962,5
moons,0.1,6,3963,11
moons,0.1,6,3964,21
moons,0.1,6,3965,31
moons,0.1,6,3967,51
moons,0.1,6,3968,53
moons,0.1,6,3969,55
moons,0.1,7,3970,1
moons,0.1,7,3974,21
moons,0.1,7,3975,31
moons,0.1,7,3976,41
moons,0.1,8,3980,1
moons,0.1,8,3981,3
moons,0.1,8,3982,5
moons,0.1,8,3983,11
moons,0.1,8,3984,21
moons,0.1,8,3985,31
moons,0.1,8,3986,41
moons,0.1,8,3987,51
moons,0.1,8,3988,53
moons,0.1,8,3989,55
moons,0.1,9,3991,3
moons,0.1,9,3992,5
moons,0.1,9,3993,11
moons,0.1,9,3994,21
moons,0.1,9,3995,31
moons,0.1,9,3996,41
moons,0.1,9,3997,51
moons,0.1,9,3998,53
moons,0.1,9,3999,55
moons,0.2,0,4404,21
moons,0.2,1,4415,31
moons,0.2,2,4428,53
moons,0.2,3,4436,41
moons,0.2,3,4437,51
moons,0.2,3,4438,53
moons,0.2,4,4448,53
moons,0.2,5,4459,55
moons,0.2,6,4466,41
moons,0.2,6,4468,53
moons,0.2,6,4469,55
moons,0.2,7,4475,31
moons,0.2,8,4483,11
moons,0.2,8,4484,21
moons,0.2,8,4485,31
moons,0.2,8,4487,51
moons,0.2,8,4488,53
moons,0.2,8,4489,55
moons,0.2,9,4493,11
moons,0.2,9,4494,21
moons,0.2,9,4495,31
moons,0.2,9,4497,51
moons,0.3,0,4908,53
moons,0.3,1,4918,53
moons,0.3,2,4928,53
moons,0.3,3,4935,31
moons,0.3,4,4949,55
moons,0.3,5,4956,41
moons,0.3,5,4957,51
moons,0.3,6,4967,51
moons,0.3,7,4977,51
moons,0.3,8,4985,31
moons,0.3,9,4997,51
moons,0.3,9,4998,53
moons,0.4,0,5407,51
moons,0.4,0,5408,53
moons,0.4,0,5409,55
moons,0.4,1,5415,31
moons,0.4,2,5425,31
moons,0.4,2,5427,51
moons,0.4,2,5429,55
moons,0.4,3,5436,41
moons,0.4,3,5437,51
moons,0.4,3,5438,53
moons,0.4,3,5439,55
moons,0.4,4,5445,31
moons,0.4,5,5456,41
moons,0.4,5,5457,51
moons,0.4,5,5458,53
moons,0.4,6,5469,55
moons,0.4,7,5477,51
moons,0.4,7,5478,53
moons,0.4,7,5479,55
moons,0.4,8,5486,41
moons,0.4,9,5498,53
moons,0.4,9,5499,55
moons,0.5,0,5905,31
moons,0.5,0,5908,53
moons,0.5,0,5909,55
moons,0.5,1,5917,51
moons,0.5,2,5929,55
moons,0.5,3,5939,55
moons,0.5,4,5949,55
moons,0.5,5,5957,51
moons,0.5,6,5966,41
moons,0.5,7,5978,53
moons,0.5,8,5986,41
moons,0.5,8,5987,51
