,model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
0,knn,circles,0.0,10,0,1,1.0,1.0,0.0
1,knn,circles,0.0,10,0,3,0.7777777777777778,0.0,0.7777777777777778
2,knn,circles,0.0,10,0,5,0.7777777777777778,0.0,0.7777777777777778
3,knn,circles,0.0,10,0,11,0.7777777777777778,0.0,0.7777777777777778
4,knn,circles,0.0,10,0,21,0.7777777777777778,0.0,0.7777777777777778
5,knn,circles,0.0,10,0,31,0.7777777777777778,0.0,0.7777777777777778
6,knn,circles,0.0,10,0,41,0.7777777777777778,0.0,0.7777777777777778
7,knn,circles,0.0,10,0,51,0.7777777777777778,0.0,0.7777777777777778
8,knn,circles,0.0,10,0,53,0.7777777777777778,0.0,0.7777777777777778
9,knn,circles,0.0,10,0,55,0.7777777777777778,0.0,0.7777777777777778
10,knn,circles,0.0,10,1,1,1.0,0.0,1.0
11,knn,circles,0.0,10,1,3,0.7777777777777778,0.0,0.7777777777777778
12,knn,circles,0.0,10,1,5,0.7777777777777778,0.0,0.7777777777777778
13,knn,circles,0.0,10,1,11,0.7777777777777778,0.0,0.7777777777777778
14,knn,circles,0.0,10,1,21,0.7777777777777778,0.0,0.7777777777777778
15,knn,circles,0.0,10,1,31,0.7777777777777778,0.0,0.7777777777777778
16,knn,circles,0.0,10,1,41,0.7777777777777778,0.0,0.7777777777777778
17,knn,circles,0.0,10,1,51,0.7777777777777778,0.0,0.7777777777777778
18,knn,circles,0.0,10,1,53,0.7777777777777778,0.0,0.7777777777777778
19,knn,circles,0.0,10,1,55,0.7777777777777778,0.0,0.7777777777777778
20,knn,circles,0.0,10,2,1,1.0,1.0,0.0
21,knn,circles,0.0,10,2,3,0.7777777777777778,1.0,-0.2222222222222222
22,knn,circles,0.0,10,2,5,0.6666666666666666,1.0,-0.33333333333333337
23,knn,circles,0.0,10,2,11,0.6666666666666666,1.0,-0.33333333333333337
24,knn,circles,0.0,10,2,21,0.6666666666666666,1.0,-0.33333333333333337
25,knn,circles,0.0,10,2,31,0.6666666666666666,1.0,-0.33333333333333337
26,knn,circles,0.0,10,2,41,0.6666666666666666,1.0,-0.33333333333333337
27,knn,circles,0.0,10,2,51,0.6666666666666666,1.0,-0.33333333333333337
28,knn,circles,0.0,10,2,53,0.6666666666666666,1.0,-0.33333333333333337
29,knn,circles,0.0,10,2,55,0.6666666666666666,1.0,-0.33333333333333337
30,knn,circles,0.0,10,3,1,1.0,0.0,1.0
31,knn,circles,0.0,10,3,3,0.8888888888888888,0.0,0.8888888888888888
32,knn,circles,0.0,10,3,5,0.7777777777777778,0.0,0.7777777777777778
33,knn,circles,0.0,10,3,11,0.7777777777777778,0.0,0.7777777777777778
34,knn,circles,0.0,10,3,21,0.7777777777777778,0.0,0.7777777777777778
35,knn,circles,0.0,10,3,31,0.7777777777777778,0.0,0.7777777777777778
36,knn,circles,0.0,10,3,41,0.7777777777777778,0.0,0.7777777777777778
37,knn,circles,0.0,10,3,51,0.7777777777777778,0.0,0.7777777777777778
38,knn,circles,0.0,10,3,53,0.7777777777777778,0.0,0.7777777777777778
39,knn,circles,0.0,10,3,55,0.7777777777777778,0.0,0.7777777777777778
40,knn,circles,0.0,10,4,1,1.0,1.0,0.0
41,knn,circles,0.0,10,4,3,0.7777777777777778,1.0,-0.2222222222222222
42,knn,circles,0.0,10,4,5,0.6666666666666666,1.0,-0.33333333333333337
43,knn,circles,0.0,10,4,11,0.6666666666666666,1.0,-0.33333333333333337
44,knn,circles,0.0,10,4,21,0.6666666666666666,1.0,-0.33333333333333337
45,knn,circles,0.0,10,4,31,0.6666666666666666,1.0,-0.33333333333333337
46,knn,circles,0.0,10,4,41,0.6666666666666666,1.0,-0.33333333333333337
47,knn,circles,0.0,10,4,51,0.6666666666666666,1.0,-0.33333333333333337
48,knn,circles,0.0,10,4,53,0.6666666666666666,1.0,-0.33333333333333337
49,knn,circles,0.0,10,4,55,0.6666666666666666,1.0,-0.33333333333333337
50,knn,circles,0.0,10,5,1,1.0,0.0,1.0
51,knn,circles,0.0,10,5,3,0.7777777777777778,0.0,0.7777777777777778
52,knn,circles,0.0,10,5,5,0.7777777777777778,1.0,-0.2222222222222222
53,knn,circles,0.0,10,5,11,0.6666666666666666,1.0,-0.33333333333333337
54,knn,circles,0.0,10,5,21,0.6666666666666666,1.0,-0.33333333333333337
55,knn,circles,0.0,10,5,31,0.6666666666666666,1.0,-0.33333333333333337
56,knn,circles,0.0,10,5,41,0.6666666666666666,1.0,-0.33333333333333337
57,knn,circles,0.0,10,5,51,0.6666666666666666,1.0,-0.33333333333333337
58,knn,circles,0.0,10,5,53,0.6666666666666666,1.0,-0.33333333333333337
59,knn,circles,0.0,10,5,55,0.6666666666666666,1.0,-0.33333333333333337
60,knn,circles,0.0,10,6,1,1.0,0.0,1.0
61,knn,circles,0.0,10,6,3,0.7777777777777778,0.0,0.7777777777777778
62,knn,circles,0.0,10,6,5,0.8888888888888888,0.0,0.8888888888888888
63,knn,circles,0.0,10,6,11,0.6666666666666666,1.0,-0.33333333333333337
64,knn,circles,0.0,10,6,21,0.6666666666666666,1.0,-0.33333333333333337
65,knn,circles,0.0,10,6,31,0.6666666666666666,1.0,-0.33333333333333337
66,knn,circles,0.0,10,6,41,0.6666666666666666,1.0,-0.33333333333333337
67,knn,circles,0.0,10,6,51,0.6666666666666666,1.0,-0.33333333333333337
68,knn,circles,0.0,10,6,53,0.6666666666666666,1.0,-0.33333333333333337
69,knn,circles,0.0,10,6,55,0.6666666666666666,1.0,-0.33333333333333337
70,knn,circles,0.0,10,7,1,1.0,0.0,1.0
71,knn,circles,0.0,10,7,3,0.8888888888888888,0.0,0.8888888888888888
72,knn,circles,0.0,10,7,5,0.8888888888888888,0.0,0.8888888888888888
73,knn,circles,0.0,10,7,11,0.6666666666666666,1.0,-0.33333333333333337
74,knn,circles,0.0,10,7,21,0.6666666666666666,1.0,-0.33333333333333337
75,knn,circles,0.0,10,7,31,0.6666666666666666,1.0,-0.33333333333333337
76,knn,circles,0.0,10,7,41,0.6666666666666666,1.0,-0.33333333333333337
77,knn,circles,0.0,10,7,51,0.6666666666666666,1.0,-0.33333333333333337
