model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
knn,circles,0,10,9,55,0.555555556,0,0.555555556
knn,circles,0,50,9,55,0.711111111,0.8,-0.088888889
knn,circles,0,100,9,55,0.544444444,0.6,-0.055555556
knn,circles,0,1000,9,55,0.974444444,0.92,0.054444444
knn,circles,0,10000,9,55,1,1,0
knn,circles,0.1,10,9,55,0.666666667,1,-0.333333333
knn,circles,0.1,50,9,55,0.644444444,0.6,0.044444444
knn,circles,0.1,100,9,55,0.6,0.5,0.1
knn,circles,0.1,1000,9,55,0.844444444,0.85,-0.005555556
knn,circles,0.1,10000,9,55,0.842333333,0.85,-0.007666667
knn,circles,0.2,10,9,55,0.666666667,0,0.666666667
knn,circles,0.2,50,9,55,0.711111111,0.4,0.311111111
knn,circles,0.2,100,9,55,0.622222222,0.4,0.222222222
knn,circles,0.2,1000,9,55,0.706666667,0.65,0.056666667
knn,circles,0.2,10000,9,55,0.697666667,0.649,0.048666667
knn,circles,0.3,10,9,55,0.666666667,0,0.666666667
knn,circles,0.3,50,9,55,0.622222222,0.2,0.422222222
knn,circles,0.3,100,9,55,0.488888889,0.7,-0.211111111
knn,circles,0.3,1000,9,55,0.638888889,0.65,-0.011111111
knn,circles,0.3,10000,9,55,0.639555556,0.619,0.020555556
knn,circles,0.4,10,9,55,0.555555556,0,0.555555556
knn,circles,0.4,50,9,55,0.688888889,0.6,0.088888889
knn,circles,0.4,100,9,55,0.566666667,0.6,-0.033333333
knn,circles,0.4,1000,9,55,0.617777778,0.58,0.037777778
knn,circles,0.4,10000,9,55,0.612222222,0.55,0.062222222
knn,circles,0.5,10,9,55,0.666666667,1,-0.333333333
knn,circles,0.5,50,9,55,0.622222222,0.4,0.222222222
knn,circles,0.5,100,9,55,0.6,0.3,0.3
knn,circles,0.5,1000,9,55,0.59,0.6,-0.01
knn,circles,0.5,10000,9,55,0.591555556,0.56,0.031555556
knn,moons,0,10,9,55,0.555555556,0,0.555555556
knn,moons,0,50,9,55,0.955555556,1,-0.044444444
knn,moons,0,100,9,55,0.855555556,0.6,0.255555556
knn,moons,0,1000,9,55,1,1,0
knn,moons,0,10000,9,55,1,1,0
knn,moons,0.1,10,9,55,0.555555556,1,-0.444444444
knn,moons,0.1,50,9,55,0.977777778,1,-0.022222222
knn,moons,0.1,100,9,55,0.811111111,0.7,0.111111111
knn,moons,0.1,1000,9,55,0.997777778,0.98,0.017777778
knn,moons,0.1,10000,9,55,0.998777778,0.999,-0.000222222
knn,moons,0.2,10,9,55,0.666666667,1,-0.333333333
knn,moons,0.2,50,9,55,0.955555556,1,-0.044444444
knn,moons,0.2,100,9,55,0.8,1,-0.2
knn,moons,0.2,1000,9,55,0.975555556,0.94,0.035555556
knn,moons,0.2,10000,9,55,0.969333333,0.966,0.003333333
knn,moons,0.3,10,9,55,0.666666667,0,0.666666667
knn,moons,0.3,50,9,55,0.888888889,1,-0.111111111
knn,moons,0.3,100,9,55,0.833333333,0.6,0.233333333
knn,moons,0.3,1000,9,55,0.897777778,0.93,-0.032222222
knn,moons,0.3,10000,9,55,0.911333333,0.914,-0.002666667
knn,moons,0.4,10,9,55,0.666666667,1,-0.333333333
knn,moons,0.4,50,9,55,0.866666667,0.4,0.466666667
knn,moons,0.4,100,9,55,0.711111111,0.8,-0.088888889
knn,moons,0.4,1000,9,55,0.865555556,0.84,0.025555556
knn,moons,0.4,10000,9,55,0.870222222,0.853,0.017222222
knn,moons,0.5,10,9,55,0.555555556,0,0.555555556
knn,moons,0.5,50,9,55,0.822222222,0.8,0.022222222
knn,moons,0.5,100,9,55,0.811111111,0.9,-0.088888889
knn,moons,0.5,1000,9,55,0.838888889,0.82,0.018888889
knn,moons,0.5,10000,9,55,0.826444444,0.837,-0.010555556
knn,circles,0,10,9,53,0.555555556,0,0.555555556
knn,circles,0,50,9,53,0.711111111,0.8,-0.088888889
knn,circles,0,100,9,53,0.577777778,0.6,-0.022222222
knn,circles,0,1000,9,53,0.983333333,0.94,0.043333333
knn,circles,0,10000,9,53,1,1,0
knn,circles,0.1,10,9,53,0.666666667,1,-0.333333333
knn,circles,0.1,50,9,53,0.644444444,0.6,0.044444444
knn,circles,0.1,100,9,53,0.577777778,0.5,0.077777778
knn,circles,0.1,1000,9,53,0.842222222,0.84,0.002222222
knn,circles,0.1,10000,9,53,0.842444444,0.845,-0.002555556
knn,circles,0.2,10,9,53,0.666666667,0,0.666666667
knn,circles,0.2,50,9,53,0.711111111,0.4,0.311111111
knn,circles,0.2,100,9,53,0.611111111,0.3,0.311111111
knn,circles,0.2,1000,9,53,0.708888889,0.64,0.068888889
knn,circles,0.2,10000,9,53,0.698888889,0.648,0.050888889
knn,circles,0.3,10,9,53,0.666666667,0,0.666666667
knn,circles,0.3,50,9,53,0.622222222,0.2,0.422222222
knn,circles,0.3,100,9,53,0.5,0.7,-0.2
knn,circles,0.3,1000,9,53,0.642222222,0.64,0.002222222
knn,circles,0.3,10000,9,53,0.640444444,0.611,0.029444444
knn,circles,0.4,10,9,53,0.555555556,0,0.555555556
knn,circles,0.4,50,9,53,0.688888889,0.6,0.088888889
knn,circles,0.4,100,9,53,0.544444444,0.7,-0.155555556
knn,circles,0.4,1000,9,53,0.612222222,0.58,0.032222222
knn,circles,0.4,10000,9,53,0.611555556,0.55,0.061555556
knn,circles,0.5,10,9,53,0.666666667,1,-0.333333333
knn,circles,0.5,50,9,53,0.622222222,0.4,0.222222222
knn,circles,0.5,100,9,53,0.6,0.3,0.3
knn,circles,0.5,1000,9,53,0.591111111,0.6,-0.008888889
knn,circles,0.5,10000,9,53,0.590777778,0.563,0.027777778
knn,moons,0,10,9,53,0.555555556,0,0.555555556
knn,moons,0,50,9,53,0.955555556,1,-0.044444444
knn,moons,0,100,9,53,0.855555556,0.6,0.255555556
knn,moons,0,1000,9,53,1,1,0
knn,moons,0,10000,9,53,1,1,0
knn,moons,0.1,10,9,53,0.555555556,1,-0.444444444
knn,moons,0.1,50,9,53,0.977777778,1,-0.022222222
knn,moons,0.1,100,9,53,0.822222222,0.7,0.122222222
knn,moons,0.1,1000,9,53,0.997777778,0.98,0.017777778
knn,moons,0.1,10000,9,53,0.998888889,0.999,-0.000111111
knn,moons,0.2,10,9,53,0.666666667,1,-0.333333333
knn,moons,0.2,50,9,53,0.955555556,1,-0.044444444
knn,moons,0.2,100,9,53,0.8,1,-0.2
knn,moons,0.2,1000,9,53,0.975555556,0.94,0.035555556
knn,moons,0.2,10000,9,53,0.969444444,0.967,0.002444444
knn,moons,0.3,10,9,53,0.666666667,0,0.666666667
knn,moons,0.3,50,9,53,0.888888889,1,-0.111111111
knn,moons,0.3,100,9,53,0.833333333,0.6,0.233333333
knn,moons,0.3,1000,9,53,0.9,0.92,-0.02
knn,moons,0.3,10000,9,53,0.911666667,0.915,-0.003333333
knn,moons,0.4,10,9,53,0.666666667,1,-0.333333333
knn,moons,0.4,50,9,53,0.866666667,0.4,0.466666667
knn,moons,0.4,100,9,53,0.722222222,0.8,-0.077777778
knn,moons,0.4,1000,9,53,0.863333333,0.84,0.023333333
knn,moons,0.4,10000,9,53,0.870222222,0.853,0.017222222
knn,moons,0.5,10,9,53,0.555555556,0,0.555555556
knn,moons,0.5,50,9,53,0.822222222,0.8,0.022222222
knn,moons,0.5,100,9,53,0.8,0.9,-0.1
knn,moons,0.5,1000,9,53,0.84,0.82,0.02
knn,moons,0.5,10000,9,53,0.826444444,0.837,-0.010555556
knn,circles,0,10,9,51,0.555555556,0,0.555555556
knn,circles,0,50,9,51,0.711111111,0.8,-0.088888889
knn,circles,0,100,9,51,0.555555556,0.6,-0.044444444
knn,circles,0,1000,9,51,0.985555556,0.95,0.035555556
knn,circles,0,10000,9,51,1,1,0
knn,circles,0.1,10,9,51,0.666666667,1,-0.333333333
knn,circles,0.1,50,9,51,0.644444444,0.6,0.044444444
knn,circles,0.1,100,9,51,0.555555556,0.5,0.055555556
knn,circles,0.1,1000,9,51,0.838888889,0.84,-0.001111111
knn,circles,0.1,10000,9,51,0.842222222,0.851,-0.008777778
knn,circles,0.2,10,9,51,0.666666667,0,0.666666667
knn,circles,0.2,50,9,51,0.711111111,0.4,0.311111111
knn,circles,0.2,100,9,51,0.622222222,0.4,0.222222222
knn,circles,0.2,1000,9,51,0.711111111,0.63,0.081111111
knn,circles,0.2,10000,9,51,0.698444444,0.643,0.055444444
knn,circles,0.3,10,9,51,0.666666667,0,0.666666667
knn,circles,0.3,50,9,51,0.622222222,0.2,0.422222222
knn,circles,0.3,100,9,51,0.544444444,0.8,-0.255555556
knn,circles,0.3,1000,9,51,0.647777778,0.63,0.017777778
knn,circles,0.3,10000,9,51,0.641444444,0.611,0.030444444
knn,circles,0.4,10,9,51,0.555555556,0,0.555555556
knn,circles,0.4,50,9,51,0.688888889,0.6,0.088888889
knn,circles,0.4,100,9,51,0.544444444,0.5,0.044444444
knn,circles,0.4,1000,9,51,0.61,0.55,0.06
knn,circles,0.4,10000,9,51,0.611555556,0.554,0.057555556
knn,circles,0.5,10,9,51,0.666666667,1,-0.333333333
knn,circles,0.5,50,9,51,0.622222222,0.4,0.222222222
knn,circles,0.5,100,9,51,0.6,0.3,0.3
knn,circles,0.5,1000,9,51,0.582222222,0.55,0.032222222
knn,circles,0.5,10000,9,51,0.591333333,0.558,0.033333333
knn,moons,0,10,9,51,0.555555556,0,0.555555556
knn,moons,0,50,9,51,0.955555556,1,-0.044444444
knn,moons,0,100,9,51,0.866666667,0.6,0.266666667
knn,moons,0,1000,9,51,1,1,0
knn,moons,0,10000,9,51,1,1,0
knn,moons,0.1,10,9,51,0.555555556,1,-0.444444444
knn,moons,0.1,50,9,51,0.977777778,1,-0.022222222
knn,moons,0.1,100,9,51,0.822222222,0.7,0.122222222
knn,moons,0.1,1000,9,51,0.997777778,0.98,0.017777778
knn,moons,0.1,10000,9,51,0.998888889,0.999,-0.000111111
knn,moons,0.2,10,9,51,0.666666667,1,-0.333333333
knn,moons,0.2,50,9,51,0.955555556,1,-0.044444444
knn,moons,0.2,100,9,51,0.811111111,1,-0.188888889
knn,moons,0.2,1000,9,51,0.975555556,0.94,0.035555556
knn,moons,0.2,10000,9,51,0.969222222,0.969,0.000222222
knn,moons,0.3,10,9,51,0.666666667,0,0.666666667
knn,moons,0.3,50,9,51,0.888888889,1,-0.111111111
knn,moons,0.3,100,9,51,0.833333333,0.6,0.233333333
knn,moons,0.3,1000,9,51,0.898888889,0.93,-0.031111111
knn,moons,0.3,10000,9,51,0.912111111,0.915,-0.002888889
knn,moons,0.4,10,9,51,0.666666667,1,-0.333333333
knn,moons,0.4,50,9,51,0.866666667,0.4,0.466666667
knn,moons,0.4,100,9,51,0.733333333,0.8,-0.066666667
knn,moons,0.4,1000,9,51,0.86,0.84,0.02
knn,moons,0.4,10000,9,51,0.870222222,0.852,0.018222222
knn,moons,0.5,10,9,51,0.555555556,0,0.555555556
knn,moons,0.5,50,9,51,0.822222222,0.8,0.022222222
knn,moons,0.5,100,9,51,0.811111111,0.9,-0.088888889
knn,moons,0.5,1000,9,51,0.837777778,0.82,0.017777778
knn,moons,0.5,10000,9,51,0.826666667,0.832,-0.005333333
knn,circles,0,10,9,41,0.555555556,0,0.555555556
knn,circles,0,50,9,41,0.533333333,0.6,-0.066666667
knn,circles,0,100,9,41,0.588888889,0.7,-0.111111111
knn,circles,0,1000,9,41,0.998888889,1,-0.001111111
knn,circles,0,10000,9,41,1,1,0
knn,circles,0.1,10,9,41,0.666666667,1,-0.333333333
knn,circles,0.1,50,9,41,0.555555556,0.8,-0.244444444
knn,circles,0.1,100,9,41,0.588888889,0.3,0.288888889
knn,circles,0.1,1000,9,41,0.844444444,0.87,-0.025555556
knn,circles,0.1,10000,9,41,0.840666667,0.846,-0.005333333
knn,circles,0.2,10,9,41,0.666666667,0,0.666666667
knn,circles,0.2,50,9,41,0.577777778,0.4,0.177777778
knn,circles,0.2,100,9,41,0.566666667,0.3,0.266666667
knn,circles,0.2,1000,9,41,0.697777778,0.63,0.067777778
knn,circles,0.2,10000,9,41,0.701111111,0.638,0.063111111
knn,circles,0.3,10,9,41,0.666666667,0,0.666666667
knn,circles,0.3,50,9,41,0.488888889,0.6,-0.111111111
knn,circles,0.3,100,9,41,0.577777778,0.6,-0.022222222
knn,circles,0.3,1000,9,41,0.648888889,0.63,0.018888889
knn,circles,0.3,10000,9,41,0.645,0.62,0.025
knn,circles,0.4,10,9,41,0.555555556,0,0.555555556
knn,circles,0.4,50,9,41,0.555555556,0.6,-0.044444444
