,ds_type,noise_levels,n_samples,k_folds,pramter,TRE,TESTE,E_DIFF,data
0,circles,0.0,10,0,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
0  0.627993  0.372007      0              0          0                  0"
1,circles,0.0,10,1,1000,1.0,1.0,0.0,"       x2      y2 levels predict_levels str_levels str_predict_levels
1  0.0291  0.6109      1              1          1                  1"
2,circles,0.0,10,2,1000,1.0,1.0,0.0,"    x2   y2 levels predict_levels str_levels str_predict_levels
2  1.0  0.0      0              0          0                  0"
3,circles,0.0,10,3,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
3  0.629947  0.010053      1              1          1                  1"
4,circles,0.0,10,4,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
4  0.783634  0.216366      0              0          0                  0"
5,circles,0.0,10,5,1000,1.0,1.0,0.0,"       x2      y2 levels predict_levels str_levels str_predict_levels
5  0.6151  0.0249      1              1          1                  1"
6,circles,0.0,10,6,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
6  0.901534  0.098466      0              0          0                  0"
7,circles,0.0,10,7,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
7  0.000006  0.999994      0              0          0                  0"
8,circles,0.0,10,8,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
8  0.393333  0.246667      1              1          1                  1"
9,circles,0.0,10,9,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
9  0.205197  0.434803      1              1          1                  1"
10,circles,0.0,50,0,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
0  0.627993  0.372007      0              0          0                  0
1  0.029100  0.610900      1              1          1                  1
2  1.000000  0.000000      0              0          0                  0
3  0.629947  0.010053      1              1          1                  1
4  0.783634  0.216366      0              0          0                  0"
11,circles,0.0,50,1,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
5  0.615100  0.024900      1              1          1                  1
6  0.901534  0.098466      0              0          0                  0
7  0.000006  0.999994      0              0          0                  0
8  0.393333  0.246667      1              1          1                  1
9  0.205197  0.434803      1              1          1                  1"
12,circles,0.0,50,2,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
10  0.575536  0.064464      1              1          1                  1
11  0.174365  0.465635      1              1          1                  1
12  0.389413  0.250587      1              1          1                  1
13  0.475569  0.164431      1              1          1                  1
14  0.130610  0.509390      1              1          1                  1"
13,circles,0.0,50,3,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
15  0.633392  0.006608      1              1          1                  1
16  0.631667  0.008333      1              1          1                  1
17  0.967611  0.032389      0              0          0                  0
18  0.982691  0.017309      0              0          0                  0
19  0.000835  0.999165      0              0          0                  0"
14,circles,0.0,50,4,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
20  0.952414  0.047586      0              0          0                  0
21  0.000039  0.999961      0              0          0                  0
22  0.402609  0.597391      0              0          0                  0
23  0.562938  0.077062      1              1          1                  1
24  0.061588  0.578412      1              1          1                  1"
15,circles,0.0,50,5,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
25  0.181288  0.818712      0              0          0                  0
26  0.994326  0.005674      0              0          0                  0
27  0.462763  0.177237      1              1          1                  1
28  0.641305  0.358695      0              0          0                  0
29  0.896995  0.103005      0              0          0                  0"
16,circles,0.0,50,6,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
30  0.356286  0.643714      0              0          0                  0
31  0.234204  0.405796      1              1          1                  1
32  0.146503  0.493497      1              1          1                  1
33  0.941146  0.058854      0              0          0                  0
34  0.926156  0.073844      0              0          0                  0"
17,circles,0.0,50,7,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
35  0.006772  0.633228      1              1          1                  1
36  0.878771  0.121229      0              0          0                  0
37  0.059704  0.580296      1              1          1                  1
38  0.476133  0.523867      0              0          0                  0
39  0.778438  0.221562      0              0          0                  0"
18,circles,0.0,50,8,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
40  0.956089  0.043911      0              0          0                  0
41  0.342500  0.297500      1              1          1                  1
42  0.639369  0.000631      1              1          1                  1
43  0.772144  0.227856      0              0          0                  0
44  0.968495  0.031505      0              0          0                  0"
19,circles,0.0,50,9,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
45  0.395225  0.604775      0              0          0                  0
46  0.999943  0.000057      0              0          0                  0
47  0.694530  0.305470      0              0          0                  0
48  0.064464  0.575536      1              1          1                  1
49  0.030455  0.609545      1              1          1                  1"
20,circles,0.0,100,0,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
0  0.627993  0.372007      0              0          0                  0
1  0.029100  0.610900      1              1          1                  1
2  1.000000  0.000000      0              0          0                  0
3  0.629947  0.010053      1              1          1                  1
4  0.783634  0.216366      0              0          0                  0
5  0.615100  0.024900      1              1          1                  1
6  0.901534  0.098466      0              0          0                  0
7  0.000006  0.999994      0              0          0                  0
8  0.393333  0.246667      1              1          1                  1
9  0.205197  0.434803      1              1          1                  1"
21,circles,0.0,100,1,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
10  0.575536  0.064464      1              1          1                  1
11  0.174365  0.465635      1              1          1                  1
12  0.389413  0.250587      1              1          1                  1
13  0.475569  0.164431      1              1          1                  1
14  0.130610  0.509390      1              1          1                  1
15  0.633392  0.006608      1              1          1                  1
16  0.631667  0.008333      1              1          1                  1
17  0.967611  0.032389      0              0          0                  0
18  0.982691  0.017309      0              0          0                  0
19  0.000835  0.999165      0              0          0                  0"
22,circles,0.0,100,2,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
20  0.952414  0.047586      0              0          0                  0
21  0.000039  0.999961      0              0          0                  0
22  0.402609  0.597391      0              0          0                  0
23  0.562938  0.077062      1              1          1                  1
24  0.061588  0.578412      1              1          1                  1
25  0.181288  0.818712      0              0          0                  0
26  0.994326  0.005674      0              0          0                  0
27  0.462763  0.177237      1              1          1                  1
28  0.641305  0.358695      0              0          0                  0
29  0.896995  0.103005      0              0          0                  0"
23,circles,0.0,100,3,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
30  0.356286  0.643714      0              0          0                  0
31  0.234204  0.405796      1              1          1                  1
32  0.146503  0.493497      1              1          1                  1
33  0.941146  0.058854      0              0          0                  0
34  0.926156  0.073844      0              0          0                  0
35  0.006772  0.633228      1              1          1                  1
36  0.878771  0.121229      0              0          0                  0
37  0.059704  0.580296      1              1          1                  1
38  0.476133  0.523867      0              0          0                  0
39  0.778438  0.221562      0              0          0                  0"
24,circles,0.0,100,4,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
40  0.956089  0.043911      0              0          0                  0
41  0.342500  0.297500      1              1          1                  1
42  0.639369  0.000631      1              1          1                  1
43  0.772144  0.227856      0              0          0                  0
44  0.968495  0.031505      0              0          0                  0
45  0.395225  0.604775      0              0          0                  0
46  0.999943  0.000057      0              0          0                  0
47  0.694530  0.305470      0              0          0                  0
48  0.064464  0.575536      1              1          1                  1
49  0.030455  0.609545      1              1          1                  1"
25,circles,0.0,100,5,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
50  0.318277  0.681723      0              0          0                  0
51  0.525212  0.114788      1              1          1                  1
52  0.158841  0.481159      1              1          1                  1
53  0.199960  0.440040      1              1          1                  1
54  0.999773  0.000227      0              0          0                  0
55  0.100945  0.539055      1              1          1                  1
56  0.459153  0.180847      1              1          1                  1
57  0.388628  0.251372      1              1          1                  1
58  0.024862  0.975138      0              0          0                  0
59  0.634332  0.005668      1              1          1                  1"
26,circles,0.0,100,6,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
60  0.873806  0.126194      0              0          0                  0
61  0.967164  0.032836      0              0          0                  0
62  0.333668  0.306332      1              1          1                  1
63  0.624345  0.375655      0              0          0                  0
64  0.976680  0.023320      0              0          0                  0
65  0.503508  0.136492      1              1          1                  1
66  0.807941  0.192059      0              0          0                  0
67  0.034192  0.965808      0              0          0                  0
68  0.275907  0.364093      1              1          1                  1
69  0.137812  0.502188      1              1          1                  1"
