,model,ds_type,noise_levels,n_samples,k_folds,regularization_value,TRE,TESTE,E_DIFF
0,log_reg,circles,0.0,10,0,0.001,0.7777777777777778,0.0,0.7777777777777778
1,log_reg,circles,0.0,10,0,0.01,0.7777777777777778,0.0,0.7777777777777778
2,log_reg,circles,0.0,10,0,0.1,0.7777777777777778,0.0,0.7777777777777778
3,log_reg,circles,0.0,10,0,1.0,0.7777777777777778,0.0,0.7777777777777778
4,log_reg,circles,0.0,10,0,10.0,1.0,0.0,1.0
5,log_reg,circles,0.0,10,0,100.0,1.0,0.0,1.0
6,log_reg,circles,0.0,10,0,1000.0,1.0,0.0,1.0
7,log_reg,circles,0.0,10,1,0.001,0.7777777777777778,0.0,0.7777777777777778
8,log_reg,circles,0.0,10,1,0.01,0.7777777777777778,0.0,0.7777777777777778
9,log_reg,circles,0.0,10,1,0.1,0.7777777777777778,0.0,0.7777777777777778
10,log_reg,circles,0.0,10,1,1.0,0.7777777777777778,0.0,0.7777777777777778
11,log_reg,circles,0.0,10,1,10.0,0.7777777777777778,1.0,-0.2222222222222222
12,log_reg,circles,0.0,10,1,100.0,0.8888888888888888,1.0,-0.11111111111111116
13,log_reg,circles,0.0,10,1,1000.0,1.0,1.0,0.0
14,log_reg,circles,0.0,10,2,0.001,0.6666666666666666,1.0,-0.33333333333333337
15,log_reg,circles,0.0,10,2,0.01,0.6666666666666666,1.0,-0.33333333333333337
16,log_reg,circles,0.0,10,2,0.1,0.6666666666666666,1.0,-0.33333333333333337
17,log_reg,circles,0.0,10,2,1.0,0.6666666666666666,1.0,-0.33333333333333337
18,log_reg,circles,0.0,10,2,10.0,0.8888888888888888,1.0,-0.11111111111111116
19,log_reg,circles,0.0,10,2,100.0,0.8888888888888888,1.0,-0.11111111111111116
20,log_reg,circles,0.0,10,2,1000.0,1.0,1.0,0.0
21,log_reg,circles,0.0,10,3,0.001,0.7777777777777778,0.0,0.7777777777777778
22,log_reg,circles,0.0,10,3,0.01,0.7777777777777778,0.0,0.7777777777777778
23,log_reg,circles,0.0,10,3,0.1,0.7777777777777778,0.0,0.7777777777777778
24,log_reg,circles,0.0,10,3,1.0,0.7777777777777778,0.0,0.7777777777777778
25,log_reg,circles,0.0,10,3,10.0,1.0,0.0,1.0
26,log_reg,circles,0.0,10,3,100.0,1.0,0.0,1.0
27,log_reg,circles,0.0,10,3,1000.0,1.0,0.0,1.0
28,log_reg,circles,0.0,10,4,0.001,0.6666666666666666,1.0,-0.33333333333333337
29,log_reg,circles,0.0,10,4,0.01,0.6666666666666666,1.0,-0.33333333333333337
30,log_reg,circles,0.0,10,4,0.1,0.6666666666666666,1.0,-0.33333333333333337
31,log_reg,circles,0.0,10,4,1.0,0.6666666666666666,1.0,-0.33333333333333337
32,log_reg,circles,0.0,10,4,10.0,0.8888888888888888,1.0,-0.11111111111111116
33,log_reg,circles,0.0,10,4,100.0,0.8888888888888888,1.0,-0.11111111111111116
34,log_reg,circles,0.0,10,4,1000.0,1.0,1.0,0.0
35,log_reg,circles,0.0,10,5,0.001,0.6666666666666666,1.0,-0.33333333333333337
36,log_reg,circles,0.0,10,5,0.01,0.6666666666666666,1.0,-0.33333333333333337
37,log_reg,circles,0.0,10,5,0.1,0.6666666666666666,1.0,-0.33333333333333337
38,log_reg,circles,0.0,10,5,1.0,0.8888888888888888,1.0,-0.11111111111111116
39,log_reg,circles,0.0,10,5,10.0,0.7777777777777778,1.0,-0.2222222222222222
40,log_reg,circles,0.0,10,5,100.0,0.8888888888888888,1.0,-0.11111111111111116
41,log_reg,circles,0.0,10,5,1000.0,1.0,1.0,0.0
42,log_reg,circles,0.0,10,6,0.001,0.6666666666666666,1.0,-0.33333333333333337
43,log_reg,circles,0.0,10,6,0.01,0.6666666666666666,1.0,-0.33333333333333337
44,log_reg,circles,0.0,10,6,0.1,0.6666666666666666,1.0,-0.33333333333333337
45,log_reg,circles,0.0,10,6,1.0,0.8888888888888888,1.0,-0.11111111111111116
46,log_reg,circles,0.0,10,6,10.0,0.8888888888888888,0.0,0.8888888888888888
47,log_reg,circles,0.0,10,6,100.0,1.0,0.0,1.0
48,log_reg,circles,0.0,10,6,1000.0,1.0,0.0,1.0
49,log_reg,circles,0.0,10,7,0.001,0.6666666666666666,1.0,-0.33333333333333337
50,log_reg,circles,0.0,10,7,0.01,0.6666666666666666,1.0,-0.33333333333333337
51,log_reg,circles,0.0,10,7,0.1,0.6666666666666666,1.0,-0.33333333333333337
52,log_reg,circles,0.0,10,7,1.0,0.7777777777777778,1.0,-0.2222222222222222
53,log_reg,circles,0.0,10,7,10.0,0.8888888888888888,0.0,0.8888888888888888
54,log_reg,circles,0.0,10,7,100.0,0.8888888888888888,1.0,-0.11111111111111116
55,log_reg,circles,0.0,10,7,1000.0,0.8888888888888888,1.0,-0.11111111111111116
56,log_reg,circles,0.0,10,8,0.001,0.6666666666666666,1.0,-0.33333333333333337
57,log_reg,circles,0.0,10,8,0.01,0.6666666666666666,1.0,-0.33333333333333337
58,log_reg,circles,0.0,10,8,0.1,0.6666666666666666,1.0,-0.33333333333333337
59,log_reg,circles,0.0,10,8,1.0,0.6666666666666666,1.0,-0.33333333333333337
60,log_reg,circles,0.0,10,8,10.0,0.8888888888888888,1.0,-0.11111111111111116
61,log_reg,circles,0.0,10,8,100.0,0.8888888888888888,1.0,-0.11111111111111116
62,log_reg,circles,0.0,10,8,1000.0,1.0,1.0,0.0
63,log_reg,circles,0.0,10,9,0.001,0.6666666666666666,1.0,-0.33333333333333337
64,log_reg,circles,0.0,10,9,0.01,0.6666666666666666,1.0,-0.33333333333333337
65,log_reg,circles,0.0,10,9,0.1,0.6666666666666666,1.0,-0.33333333333333337
66,log_reg,circles,0.0,10,9,1.0,0.6666666666666666,1.0,-0.33333333333333337
67,log_reg,circles,0.0,10,9,10.0,0.8888888888888888,1.0,-0.11111111111111116
68,log_reg,circles,0.0,10,9,100.0,0.8888888888888888,1.0,-0.11111111111111116
69,log_reg,circles,0.0,10,9,1000.0,1.0,1.0,0.0
70,log_reg,circles,0.0,50,0,0.001,0.5111111111111111,0.4,0.11111111111111105
71,log_reg,circles,0.0,50,0,0.01,0.5111111111111111,0.4,0.11111111111111105
72,log_reg,circles,0.0,50,0,0.1,0.5777777777777777,0.4,0.1777777777777777
73,log_reg,circles,0.0,50,0,1.0,0.5555555555555556,0.0,0.5555555555555556
74,log_reg,circles,0.0,50,0,10.0,0.5555555555555556,0.0,0.5555555555555556
75,log_reg,circles,0.0,50,0,100.0,0.5555555555555556,0.0,0.5555555555555556
76,log_reg,circles,0.0,50,0,1000.0,0.5555555555555556,0.0,0.5555555555555556
77,log_reg,circles,0.0,50,1,0.001,0.5555555555555556,0.0,0.5555555555555556
78,log_reg,circles,0.0,50,1,0.01,0.5555555555555556,0.0,0.5555555555555556
79,log_reg,circles,0.0,50,1,0.1,0.5555555555555556,0.0,0.5555555555555556
80,log_reg,circles,0.0,50,1,1.0,0.5555555555555556,0.0,0.5555555555555556
81,log_reg,circles,0.0,50,1,10.0,0.5555555555555556,0.0,0.5555555555555556
82,log_reg,circles,0.0,50,1,100.0,0.5555555555555556,0.2,0.35555555555555557
83,log_reg,circles,0.0,50,1,1000.0,0.5555555555555556,0.2,0.35555555555555557
84,log_reg,circles,0.0,50,2,0.001,0.5333333333333333,0.2,0.3333333333333333
85,log_reg,circles,0.0,50,2,0.01,0.5333333333333333,0.2,0.3333333333333333
86,log_reg,circles,0.0,50,2,0.1,0.5333333333333333,0.2,0.3333333333333333
87,log_reg,circles,0.0,50,2,1.0,0.6,0.4,0.19999999999999996
88,log_reg,circles,0.0,50,2,10.0,0.5777777777777777,0.4,0.1777777777777777
89,log_reg,circles,0.0,50,2,100.0,0.5777777777777777,0.4,0.1777777777777777
90,log_reg,circles,0.0,50,2,1000.0,0.5777777777777777,0.4,0.1777777777777777
91,log_reg,circles,0.0,50,3,0.001,0.5333333333333333,0.2,0.3333333333333333
92,log_reg,circles,0.0,50,3,0.01,0.5333333333333333,0.2,0.3333333333333333
93,log_reg,circles,0.0,50,3,0.1,0.5333333333333333,0.2,0.3333333333333333
94,log_reg,circles,0.0,50,3,1.0,0.6,0.2,0.39999999999999997
95,log_reg,circles,0.0,50,3,10.0,0.5777777777777777,0.2,0.3777777777777777
96,log_reg,circles,0.0,50,3,100.0,0.5777777777777777,0.2,0.3777777777777777
97,log_reg,circles,0.0,50,3,1000.0,0.5777777777777777,0.2,0.3777777777777777
98,log_reg,circles,0.0,50,4,0.001,0.5333333333333333,0.2,0.3333333333333333
99,log_reg,circles,0.0,50,4,0.01,0.5333333333333333,0.2,0.3333333333333333
100,log_reg,circles,0.0,50,4,0.1,0.5333333333333333,0.2,0.3333333333333333
101,log_reg,circles,0.0,50,4,1.0,0.5111111111111111,0.4,0.11111111111111105
102,log_reg,circles,0.0,50,4,10.0,0.5333333333333333,0.4,0.1333333333333333
103,log_reg,circles,0.0,50,4,100.0,0.5333333333333333,0.4,0.1333333333333333
104,log_reg,circles,0.0,50,4,1000.0,0.5333333333333333,0.4,0.1333333333333333
105,log_reg,circles,0.0,50,5,0.001,0.5111111111111111,0.4,0.11111111111111105
106,log_reg,circles,0.0,50,5,0.01,0.5111111111111111,0.4,0.11111111111111105
107,log_reg,circles,0.0,50,5,0.1,0.5111111111111111,0.2,0.31111111111111106
108,log_reg,circles,0.0,50,5,1.0,0.5777777777777777,0.6,-0.022222222222222254
109,log_reg,circles,0.0,50,5,10.0,0.5555555555555556,0.6,-0.0444444444444444
110,log_reg,circles,0.0,50,5,100.0,0.5555555555555556,0.6,-0.0444444444444444
